时段,城市,站点id,站点名称,全职满编率,全职分拣员满编率,全职理货员满编率,全职水产员满编率
20250916-20250917,NULL,10000872,小象超市-海珠中大站-GZ0176,1,0.8888888889,1.1666666667,1
20250916-20250917,NULL,10000740,小象超市-赤峰路站-SH0168,0.875,1,0.5714285714,0.6666666667
20250917,深圳,10000468,小象超市-留仙站-SZ0166,0.9285714286,0.7333333333,1,1.3333333333
20250917,东莞,10001059,小象超市-万江金龙站-DG0027,1.0857142857,1.1875,0.9090909091,1
20250917,广州,10000997,小象超市-番禺万博站-GZ0181,1.04,1.0833333333,1.1428571429,1
20250917,北京,10000226,小象超市-云景南大街站-BJ0154,1,1,0.7,1
20250917,深圳,10000779,小象超市-创新站-SZ0251,1,1.1428571429,1,0.75
20250917,广州,10000672,小象超市-江南大道中站-GZ0142,1,0.95,1.1,1
20250917,上海,10000498,小象超市-三鲁公路站-SH0124,0.8571428571,0.8125,0.7142857143,1.3333333333
20250917,深圳,10000022,小象超市-银湖站-SZ0069,0.9583333333,0.8461538462,1.1666666667,1
20250917,上海,10000825,小象超市-乐秀路站-SH0189,1.0714285714,1.0666666667,1.125,1
20250917,北京,145,小象超市-火器营站-BJ0051,NULL,NULL,NULL,NULL
20250917,广州,1865,小象超市-人民北路站-GZ0017,NULL,NULL,NULL,NULL
20250917,上海,10000108,小象超市-御桥路站-SH0070,NULL,NULL,NULL,NULL
20250916,武汉,281,小象超市-保利公园九里站-WH0043,NULL,NULL,NULL,NULL
20250916,深圳,10000644,小象超市-东城站（流标）-SZ0219,NULL,NULL,NULL,NULL
20250916,深圳,10000034,小象超市-燕南站-SZ0074,NULL,NULL,NULL,NULL
20250917,上海,10000166,小象超市-浦东南路站-SH0084,NULL,NULL,NULL,NULL
20250917,武汉,171,小象超市-江湾国际站-WH0032,NULL,NULL,NULL,NULL
W38,深圳,771,小象超市-桃源站-SZ0059,NULL,NULL,NULL,NULL
W38,深圳,10000017,小象超市-水径站-SZ0066,NULL,NULL,NULL,NULL
W38,北京,10000503,小象超市-高米店站-BJ0225,NULL,NULL,NULL,NULL
W38,上海,51,小象超市-周家嘴站-SH0004,NULL,NULL,NULL,NULL
W38,上海,10000180,小象超市-长江西路站-SH0091,NULL,NULL,NULL,NULL
W38,北京,10000295,小象超市-龙旺庄站（标的失效）-BJ0174,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000449,小象超市-前进村站-WH0087,1.28125,1.125,1.8,0.75
20250916,长沙,10001126,小象超市-高桥北站-CS0003,1.0909090909,0.8,1.2727272727,1.75
20250916,北京,10001044,小象超市-怀柔站-BJ0311,1.0588235294,1.1111111111,0.8333333333,2
20250916,廊坊,10000864,小象超市-燕顺站-LF0004,0.9411764706,1.1052631579,0.8,0.6666666667
20250916,北京,10000373,小象超市-同济一站-BJ0198,1,0.875,1,1
20250916,上海,127,小象超市-曹安路站-SH0020,1,1,1,0.6666666667
20250916,天津,10001193,小象超市-国宾站-TJ0012,0.8648648649,0.8947368421,0.8461538462,1
202509,深圳,10000070,小象超市-农林站-SZ0087,NULL,NULL,NULL,NULL
202509,北京,132,小象超市-花梨坎站-BJ0045,NULL,NULL,NULL,NULL
202509,广州,10000063,小象超市-市二宫站-GZ0035,NULL,NULL,NULL,NULL
202509,上海,10000180,小象超市-长江西路站-SH0091,NULL,NULL,NULL,NULL
202509,上海,154,小象超市-中山南一路站-SH0022,NULL,NULL,NULL,NULL
202509,武汉,10000774,小象超市-沌阳大道站-WH0123,NULL,NULL,NULL,NULL
202509,北京,10000295,小象超市-龙旺庄站（标的失效）-BJ0174,NULL,NULL,NULL,NULL
202509,广州,332,小象超市-嘉禾望岗站-GZ0010,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000697,小象超市-新园站-SZ0235,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10001063,小象超市-浦口文德站（流标）-NJ0011,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000039,小象超市-棠下站-GZ0033,NULL,NULL,NULL,NULL
W38,深圳,10000451,小象超市-新澜站-SZ0159,0.9473684211,0.7894736842,1.3,1
W38,深圳,10000732,小象超市-华明站-SZ0245,1.0285714286,0.9473684211,1.25,1
W38,上海,10000663,小象超市-富联路站-SH0157,1,1,1.125,1
W38,广州,10000667,小象超市-番禺城区大道站-GZ0140,0.9583333333,0.8181818182,1.1428571429,1.25
W38,北京,10000199,小象超市-科技路站-BJ0145,0.9787234043,0.8928571429,1.25,1
W38,深圳,10000469,小象超市-田贝站-SZ0167,0.935483871,0.8235294118,1.4285714286,1
W38,杭州,10000938,小象超市-康贤站-HZ0016,1,1.1,0.8461538462,1
202509,深圳,10001175,小象超市-兴东站-SZ0281,0.975,0.9545454545,1,1.2
202509,广州,10000724,小象超市-天河客运站-GZ0150,1.125,1,1.1111111111,1
202509,北京,10000373,小象超市-同济一站-BJ0198,1,0.875,1,1
20250916-20250917,NULL,81,小象超市-草房站-BJ0015,NULL,NULL,NULL,NULL
20250916,北京,87,小象超市-乔庄站-BJ0020,NULL,NULL,NULL,NULL
20250916,广州,10000118,小象超市-潭村站-GZ0054,NULL,NULL,NULL,NULL
20250916,南京,10001115,小象超市-江宁文靖站（废弃）-NJ0024,NULL,NULL,NULL,NULL
20250916,北京,10000614,小象超市-上地站-BJ0253,NULL,NULL,NULL,NULL
20250916,深圳,10000019,小象超市-水径站-SZ0067,NULL,NULL,NULL,NULL
20250916,东莞,241,小象超市-光大景湖站-DG0008,NULL,NULL,NULL,NULL
20250917,广州,334,小象超市-茅岗站-GZ0012,NULL,NULL,NULL,NULL
20250916,北京,10000067,小象超市-东沙站-BJ0123,NULL,NULL,NULL,NULL
20250916,武汉,134,小象超市-新城春天里站-WH0012,NULL,NULL,NULL,NULL
20250917,广州,10000013,小象超市-杨箕站-GZ0025,NULL,NULL,NULL,NULL
W38,深圳,10000489,小象超市-龙坪站（废弃）-SZ0175,NULL,NULL,NULL,NULL
W38,上海,208,小象超市-七宝北站-SH0030,NULL,NULL,NULL,NULL
20250917,深圳,10000290,小象超市-共乐站-SZ0131,1.1290322581,1.0625,1.375,1
20250917,西安,10001407,小象超市-莲湖兴地站-XA0003,NULL,NULL,NULL,NULL
20250917,北京,10000857,小象超市-嘉州站-BJ0286,0.8846153846,0.8571428571,1.1428571429,0.6666666667
20250917,中山,10001261,小象超市-坦洲振兴站-ZS0001,1.0454545455,0.85,1.2666666667,1.5
20250917,北京,10000604,小象超市-四方桥站-BJ0248,1.0526315789,1.0909090909,1,1
20250917,杭州,10000994,小象超市-通城站-HZ0027,1.1020408163,1.2916666667,0.8125,1
20250917,上海,10000913,小象超市-永和路站-SH0205,0.9642857143,0.8,1.25,1
20250917,嘉兴,10001195,小象超市-新嘉站-JX0004,0.6153846154,0.3888888889,0.9166666667,0.8333333333
20250917,中山,10001296,小象超市-石岐博爱站-ZS0002,1.1875,1,1.6,1
20250917,北京,10000803,小象超市-西山站-BJ0271,0.8064516129,0.7777777778,1,0.6666666667
20250917,杭州,10001035,小象超市-天荷站-HZ0042,0.9,1.0454545455,0.8,0.6
20250917,宁波,10001237,小象超市-扬帆站-NB0011,1.1111111111,1.25,1,1
20250917,杭州,10001033,小象超市-晨晖站-HZ0041,1.2352941176,1.2777777778,1.2,1
202509,杭州,10001033,小象超市-晨晖站-HZ0041,1.2352941176,1.2777777778,1.2,1
20250916-20250917,NULL,10000522,小象超市-远景路站-GZ0114,1.0609756098,0.9761904762,1.1818181818,1.1666666667
20250916-20250917,NULL,10000212,小象超市-云谷站-SZ0119,0.7236842105,0.6,0.8888888889,1
20250916-20250917,NULL,10001037,小象超市-文晖站-HZ0044,0.875,0.9,0.75,0.8
20250916-20250917,NULL,10001076,小象超市-昆仑站-TJ0003,0.953125,0.9375,1.0416666667,1
20250916-20250917,NULL,10000287,小象超市-彭庄站-BJ0173,0.875,0.75,1.2,0.5
20250916,苏州,10000928,小象超市-阳山站-SUZ047,0.9259259259,0.7857142857,1.125,1
20250916,广州,10000126,小象超市-双岗站-GZ0058,1.0322580645,0.9375,1,1.25
20250916,广州,10000263,小象超市-东圃二站-GZ0080,1.0588235294,0.875,1.2,1.4
W38,深圳,10000340,小象超市-新乐站-SZ0142,NULL,NULL,NULL,NULL
W38,北京,10000092,小象超市-莲花池站-BJ0128,NULL,NULL,NULL,NULL
W38,武汉,160,小象超市-汉口年华站-WH0021,NULL,NULL,NULL,NULL
W38,广州,10000074,小象超市-板桥站-GZ0040,NULL,NULL,NULL,NULL
W38,深圳,267,小象超市-沙井站-SZ0032,NULL,NULL,NULL,NULL
W38,武汉,166,小象超市-恒大城站-WH0027,NULL,NULL,NULL,NULL
202509,北京,201,小象超市-劲松站-BJ0062,NULL,NULL,NULL,NULL
202509,北京,10000092,小象超市-莲花池站-BJ0128,NULL,NULL,NULL,NULL
20250916-20250917,NULL,69,小象超市-姚家园站-BJ0010,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000090,小象超市-车陂站（已闭站）-GZ0047,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000797,小象超市-唐家墩站（流标）-WH0125,NULL,NULL,NULL,NULL
W38,武汉,10001336,小象超市-光谷三路站-WH0144,0.4571428571,0.45,0.5,0.25
20250916,广州,10000213,小象超市-天河黄村站-GZ0072,1.0967741935,1.2857142857,1.1111111111,0.8
20250916,广州,10000356,小象超市-太和站-GZ0093,1,1,1.0909090909,0.8571428571
20250916,深圳,10000270,小象超市-六和站-SZ0128,1.0344827586,0.9375,1,1.25
20250916,杭州,10001085,小象超市-运溪站-HZ0046,0.935483871,1,0.7777777778,0.8
20250916,宁波,10001237,小象超市-扬帆站-NB0011,1.1111111111,1.25,1,1
20250916,上海,10000289,小象超市-殷行路站-SH0112,0.9230769231,1,0.8571428571,1
20250916,广州,10000520,小象超市-海珠体育馆站-GZ0112,1,0.875,1.1666666667,1
20250916,武汉,10000558,小象超市-墨水湖站-WH0098,0.7916666667,0.9,0.7,0.6666666667
W38,杭州,10000992,小象超市-萧然站-HZ0026,1.05,1.0952380952,1,1
W38,天津,10001194,小象超市-津塘站-TJ0013,1,1.0666666667,1,0.6666666667
W38,东莞,10001129,小象超市-寮步创益站-DG0033,0.8974358974,0.9473684211,0.6666666667,1.2
W38,北京,10000344,小象超市-小屯北街站-BJ0189,0.935483871,1.0588235294,0.6666666667,0.6666666667
W38,佛山,10000923,小象超市-禅城朝安站-FS0012,1,0.8571428571,1.1666666667,1.25
W38,杭州,10000989,小象超市-善贤站-HZ0025,0.6829268293,0.55,0.7692307692,0.8
W38,上海,10000939,小象超市-陈桥路站-SH0213,0.88,0.7692307692,1,1
20250917,北京,210,小象超市-枣园站-BJ0063,NULL,NULL,NULL,NULL
20250917,北京,10000156,小象超市-密云站-BJ0138,NULL,NULL,NULL,NULL
20250917,广州,314,小象超市-夏茅站-GZ0004,NULL,NULL,NULL,NULL
20250916,上海,256,小象超市-蕰川路站-SH0043,NULL,NULL,NULL,NULL
20250916,北京,114,小象超市-回龙观站-BJ0031,NULL,NULL,NULL,NULL
20250917,深圳,317,小象超市-后瑞站-SZ0055,NULL,NULL,NULL,NULL
20250916,深圳,10000457,小象超市-金盛站-SZ0163,NULL,NULL,NULL,NULL
20250917,深圳,10000161,小象超市-合水口站-SZ0107,NULL,NULL,NULL,NULL
20250917,广州,333,小象超市-棠溪站-GZ0011,NULL,NULL,NULL,NULL
20250917,武汉,10000626,小象超市-四新大道站（流标）-WH0107,NULL,NULL,NULL,NULL
20250916,东莞,242,小象超市-新世纪星城-DG0009,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10001336,小象超市-光谷三路站-WH0144,0.4428571429,0.45,0.45,0.25
20250917,北京,10000611,小象超市-康庄站-BJ0250,0.8717948718,0.7826086957,1.2,1
20250917,武汉,10000368,小象超市-前进二路站-WH0078,1.25,1.0666666667,1.5,1.6666666667
20250917,惠州,10001285,小象超市-大亚湾站-HZ1004,1.2702702703,1.25,1.5,1
20250917,广州,10000126,小象超市-双岗站-GZ0058,1.0322580645,0.9375,1,1.25
W38,苏州,10000693,小象超市-安元站-SUZ008,0.8846153846,0.9230769231,0.875,0.6666666667
W38,上海,10000652,小象超市-月罗路站-SH0156,1.0588235294,1,1,1
W38,广州,10000658,小象超市-龙溪中路站-GZ0137,1.0857142857,1.1666666667,1,1
W38,北京,10000087,小象超市-模式口站-BJ0126,0.8125,0.7368421053,1,1
W38,深圳,10000456,小象超市-华信站-SZ0162,0.9743589744,0.9523809524,1,1
W38,深圳,10000165,小象超市-塘尾站-SZ0109,1.1034482759,1.0625,1,1.25
202509,廊坊,10001043,小象超市-新苑站-LF0006,1.1071428571,1,1.3333333333,1
202509,上海,10000527,小象超市-听锦路站-SH0129,1.0769230769,1.0714285714,1.1428571429,1
202509,长沙,10001153,小象超市-桂花坪站-CS0012,1.2424242424,1.1333333333,1.0909090909,2.25
202509,苏州,10000995,小象超市-钱桥站-WX0010,1,1,1,1
202509,北京,10000296,小象超市-长政南街站-BJ0175,1.0740740741,0.9375,1.1428571429,1.5
202509,深圳,10000689,小象超市-润达站-SZ0234,1.0263157895,0.9523809524,1,0.8
20250916,武汉,10000687,小象超市-利济路站（流标）-WH0114,NULL,NULL,NULL,NULL
20250916,深圳,10000095,小象超市-五联站-SZ0093,NULL,NULL,NULL,NULL
W38,上海,70,小象超市-峨山路站（已闭站）-SH0010,NULL,NULL,NULL,NULL
W38,上海,10000889,小象超市-吴美路站-SH0202,NULL,NULL,NULL,NULL
W38,北京,65,小象超市-天通苑站-BJ0008,NULL,NULL,NULL,NULL
W38,上海,228,小象超市-洪德路站-SH0036,NULL,NULL,NULL,NULL
W38,武汉,164,小象超市-万科高尔夫站-WH0025,NULL,NULL,NULL,NULL
202509,上海,84,小象超市-申亚合肥厅站-SH0016,NULL,NULL,NULL,NULL
202509,南京,10001426,小象超市-建邺春江站-NJ0042,NULL,NULL,NULL,NULL
202509,苏州,10001012,小象超市-兴源站（废弃）-WX0013,NULL,NULL,NULL,NULL
202509,深圳,10000028,小象超市-九围站-SZ0071,NULL,NULL,NULL,NULL
202509,深圳,203,小象超市-龙城站废弃-SZ0020,NULL,NULL,NULL,NULL
202509,深圳,10000245,小象超市-金岸站-SZ0122,NULL,NULL,NULL,NULL
202509,东莞,242,小象超市-新世纪星城-DG0009,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000560,小象超市-四惠东站（作废）-BJ0235,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000537,小象超市-盘古路站-SH0134,NULL,NULL,NULL,NULL
20250916-20250917,NULL,224,小象超市-胭脂路社区-WH0039,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000023,小象超市-裕安站-SZ0070,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000254,小象超市-永泰庄路站-BJ0162,NULL,NULL,NULL,NULL
20250916,武汉,88,小象超市-澜菲溪岸自提点-WH0001,NULL,NULL,NULL,NULL
20250916,武汉,166,小象超市-恒大城站-WH0027,NULL,NULL,NULL,NULL
20250916,广州,10000065,小象超市-花都广场站-GZ0037,NULL,NULL,NULL,NULL
20250916,上海,264,小象超市-莘松路站-SH0047,NULL,NULL,NULL,NULL
W38,东莞,10001165,小象超市-小象超市-凤岗站（流标）-DG0035-DG0035,NULL,NULL,NULL,NULL
20250917,武汉,10000598,小象超市-中山公园站-WH0104,1,1,1,1
20250917,天津,10001128,小象超市-锦泰站-TJ0009,0.8888888889,0.7692307692,1,1
20250917,武汉,10000673,小象超市-阳新路站-WH0111,1,1,1,1
202509,北京,10000154,小象超市-花家地站-BJ0137,0.8823529412,0.7777777778,1.2,0.5
202509,北京,10000333,小象超市-方庄南路站-BJ0185,1.0769230769,1.0714285714,1.2857142857,0.6666666667
202509,广州,10000481,小象超市-番禺东联站-GZ0108,0.9512195122,0.8571428571,1.0909090909,1
20250916-20250917,NULL,10001368,小象超市-金谷路站-CS0030,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10001127,小象超市-侯家塘站-CS0004,1.347826087,1.119047619,1.5,1.6666666667
20250916-20250917,NULL,10000513,小象超市-望京西站-BJ0227,0.8666666667,0.8125,0.7777777778,1
20250916-20250917,NULL,10001322,小象超市-旺龙路站-CS0027,0.9782608696,1.0714285714,0.84375,1.1666666667
20250916-20250917,NULL,10000691,小象超市-福星站-SUZ006,1.0833333333,1.3333333333,1,0.5
20250916-20250917,NULL,10001390,小象超市-香洲屏东站-ZH0004,0.5875,0.625,0.5333333333,1
20250916-20250917,NULL,10000879,小象超市-兰庄站-BJ0291,1.0294117647,1,0.7777777778,0.6666666667
20250916-20250917,NULL,10001006,小象超市-金石站-WX0012,1.0344827586,0.8333333333,1.3333333333,1.5
20250916-20250917,NULL,10000716,小象超市-金沙洲一站-GZ0149,1.0875,1.1052631579,0.9166666667,1
20250916-20250917,NULL,10001051,小象超市-雨花台汇智站-NJ0003,0.9736842105,0.8947368421,1.0909090909,0.8
20250916-20250917,NULL,10000530,小象超市-白江站-GZ0115,1.1578947368,1.1,1.2,1.3333333333
20250916-20250917,NULL,155,小象超市-百步华庭站-WH0020,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000816,小象超市-川周路站-SH0184,1.2037037037,1.1785714286,1.125,1.6666666667
20250916,上海,10000562,小象超市-浦建路站-SH0140,1.1666666667,1.3043478261,0.8333333333,1.5
20250916,深圳,10000472,小象超市-航城站-SZ0168,1.1578947368,1.2,1.1,1
20250916,广州,10000761,小象超市-白云三元里站-GZ0155,0.9047619048,1,0.8333333333,1
20250916,广州,10001052,小象超市-花都区府站-GZ0183,1,1,0.8666666667,0.8888888889
20250916,北京,10001250,小象超市-延静里站-BJ0330,1.5714285714,1.8947368421,1.1818181818,0.6666666667
20250916,深圳,10000301,小象超市-聚宝站-SZ0134,1.0526315789,1.0952380952,1.1111111111,1
20250916,深圳,10000683,小象超市-华茂站-SZ0233,0.8518518519,0.8,0.8333333333,1
20250916,苏州,10000801,小象超市-斜塘站-SUZ025,0.825,0.7272727273,1,0.75
20250916,南京,10001081,小象超市-江宁东新站-NJ0017,1.0606060606,0.9375,0.9090909091,1.5
20250916,上海,10000815,小象超市-宝安路站-SH0183,1.1923076923,1.3846153846,1.125,1.3333333333
20250916,上海,10000266,小象超市-江杨南路站-SH0108,1.1,1.1,1,1
20250916,深圳,10000669,小象超市-振环站-SZ0227,1.0606060606,1,0.8888888889,1.5
W38,广州,10000872,小象超市-海珠中大站-GZ0176,1,0.8888888889,1.1666666667,1
W38,武汉,10000322,小象超市-才林街站-WH0068,1.1176470588,1.1111111111,1.2,1
W38,北京,10001011,小象超市-惠民站-BJ0309,1.2962962963,1.4,1.125,1
W38,昆山,10000990,小象超市-晨风站-KS0908,1.12,1.25,0.875,1.3333333333
W38,上海,10000638,小象超市-锦尊路站-SH0154,0.9655172414,0.875,1,1
W38,北京,10000945,小象超市-鼎新站-BJ0299,1.064516129,0.9411764706,1.3333333333,1
W38,武汉,10000253,小象超市-园林路站-WH0053,1.0476190476,0.9166666667,1.1666666667,1
W38,武汉,10000518,小象超市-石桥站-WH0095,1.0416666667,0.8461538462,1.2857142857,1.5
202509,武汉,10000696,小象超市-腾龙大道站-WH0115,1,0.7777777778,1.4,1
202509,武汉,10000322,小象超市-才林街站-WH0068,1.1176470588,1.1111111111,1.2,1
202509,深圳,10000508,小象超市-福祥站-SZ0184,1.0540540541,1.0526315789,1.1,1
202509,武汉,10000363,小象超市-秦园东路站-WH0075,1.2142857143,1,1.25,3
202509,北京,10001250,小象超市-延静里站-BJ0330,1.6,1.8947368421,1.2727272727,0.6666666667
202509,北京,10001011,小象超市-惠民站-BJ0309,1.2962962963,1.4,1.125,1
202509,东莞,10000952,小象超市-莞城盈锋站-DG0017,1.0862068966,1.1724137931,0.9411764706,1.1111111111
202509,杭州,10001016,小象超市-采荷站-HZ0036,0.9361702128,1,0.875,1
202509,北京,10000576,小象超市-玉带河站-BJ0242,1.08,1.1428571429,1.1428571429,1
20250916-20250917,NULL,10001125,小象超市-书香路站-CS0002,1,0.9444444444,0.9285714286,1.5
20250916-20250917,NULL,10000827,小象超市-鸿坤站-BJ0275,1.2,1.2631578947,1,1.3333333333
20250916-20250917,NULL,10001024,小象超市-大沽站-TJ0002,0.8555555556,0.9347826087,0.75,0.75
20250916-20250917,NULL,10000531,小象超市-番禺板桥站-GZ0116,0.9482758621,0.9,1,1
20250916-20250917,NULL,10000899,小象超市-西溪站-HZ0006,1.1375,1.2,0.8076923077,2
20250916-20250917,NULL,10000187,小象超市-湖西站-SZ0113,0.9418604651,0.8913043478,0.9090909091,1.1666666667
20250917,南京,10001108,小象超市-鼓楼锦江站-NJ0023,0.9655172414,1.0666666667,0.625,1
20250917,南京,10001186,小象超市-秦淮友谊站-NJ0031,1.0344827586,0.9333333333,1.25,0.75
20250917,北京,10001212,小象超市-丰贤中路站-BJ0327,1.2608695652,1.3076923077,1.5,0.5
20250917,苏州,10001309,小象超市-翡翠站（流标）-SUZ065,NULL,NULL,NULL,NULL
20250917,深圳,10000044,小象超市-福永站-SZ0075,NULL,NULL,NULL,NULL
20250916,北京,10000133,小象超市-天通苑3站-BJ0133,NULL,NULL,NULL,NULL
20250917,深圳,10000136,小象超市-茶光站-SZ0105,NULL,NULL,NULL,NULL
20250916,东莞,278,小象超市-欧景丽苑站-DG0013,NULL,NULL,NULL,NULL
20250916,广州,10000025,小象超市-龙洞站-GZ0029,NULL,NULL,NULL,NULL
20250916,广州,10000837,小象超市-天河汇景站-GZ0173,NULL,NULL,NULL,NULL
20250916,武汉,10000325,小象超市-怡和路站-WH0069,NULL,NULL,NULL,NULL
20250917,北京,253,小象超市-南苑站-BJ0073,NULL,NULL,NULL,NULL
20250916,北京,10000132,小象超市-翠湖站-BJ0132,NULL,NULL,NULL,NULL
20250916,北京,10000585,小象超市-昊天大街站-BJ0244,NULL,NULL,NULL,NULL
20250917,深圳,10000783,小象超市-岗胜站（流标）-SZ0252,NULL,NULL,NULL,NULL
20250917,北京,126,小象超市-潞苑站-BJ0041,NULL,NULL,NULL,NULL
W38,北京,10000378,小象超市-龙泉站-BJ0200,NULL,NULL,NULL,NULL
W38,苏州,10000820,小象超市-花苑站-SUZ030,NULL,NULL,NULL,NULL
W38,上海,10000166,小象超市-浦东南路站-SH0084,NULL,NULL,NULL,NULL
W38,上海,154,小象超市-中山南一路站-SH0022,NULL,NULL,NULL,NULL
W38,广州,10001102,小象超市-快驴虚拟站03-GZ0187,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000661,小象超市-凤凰湖站-WH0110,1.2941176471,1.5555555556,1,1
20250916-20250917,NULL,10001351,小象超市-新海站-HF0004,0.6666666667,0.5652173913,1,0.2
20250916-20250917,NULL,10001404,小象超市-澳头站-HZ1007,NULL,NULL,NULL,NULL
20250916-20250917,NULL,10000475,小象超市-东平站-GZ0105,1.0540540541,1.1111111111,1,1
20250916-20250917,NULL,10000442,小象超市-沙河东站-BJ0213,1.0625,0.9318181818,1.25,1.3333333333
20250916-20250917,NULL,10000921,小象超市-绿地站-KS0904,1.16,1.1666666667,1.25,1
20250916-20250917,NULL,10000015,小象超市-北土城站-BJ0107,1.0483870968,1.0833333333,1,0.6666666667
20250916-20250917,NULL,10000601,小象超市-万福站-SZ0203,1.1714285714,1.1666666667,1.1111111111,1.6
20250916-20250917,NULL,10000758,小象超市-御风站-SUZ020,1.1,1.2,0.8,1.3333333333
20250916,武汉,10000224,小象超市-民族大道站-WH0049,1.2333333333,1.375,1,1.3333333333
20250916,深圳,10001013,小象超市-吉祥站-SZ0267,0.925,0.8571428571,1,1
20250916,杭州,10000900,小象超市-华承站-HZ0007,0.8780487805,1,0.6153846154,1
20250916,上海,10000819,小象超市-榆林路站-SH0187,1,1.2307692308,0.8571428571,0.6666666667
20250916,北京,10000745,小象超市-长春桥站-BJ0260,0.7948717949,0.652173913,1,1
20250916,北京,10000371,小象超市-未来科技城站-BJ0197,1.1388888889,1.2857142857,1,1
20250916,苏州,10000986,小象超市-桃源站-WX0009,0.9642857143,0.7142857143,1.1111111111,1.6666666667
20250916,东莞,10001087,小象超市-厚街华发站-DG0029,1.0384615385,1,1.125,1
202509,深圳,10000443,小象超市-新地站-SZ0155,NULL,NULL,NULL,NULL
202509,北京,103,小象超市-马甸站-BJ0026,NULL,NULL,NULL,NULL
202509,上海,10000619,小象超市-瞿溪路站-SH0152,NULL,NULL,NULL,NULL
202509,深圳,10000653,小象超市-腾龙站（流标）-SZ0223,NULL,NULL,NULL,NULL
202509,东莞,278,小象超市-欧景丽苑站-DG0013,NULL,NULL,NULL,NULL
202509,上海,252,小象超市-沪太路站-SH0042,NULL,NULL,NULL,NULL
202509,深圳,286,小象超市-大浪站-SZ0044,NULL,NULL,NULL,NULL
202509,南京,10001063,小象超市-浦口文德站（流标）-NJ0011,NULL,NULL,NULL,NULL
202509,广州,1864,小象超市-祈福站（已闭站）-GZ0016,NULL,NULL,NULL,NULL
202509,武汉,98,小象超市-兰亭盛荟二期站-WH0004,NULL,NULL,NULL,NULL
202509,北京,121,小象超市-马连道站-BJ0037,NULL,NULL,NULL,NULL
